run,method,rows,batch,fork,phase,iteration,log,after_cleanup_line,before_next_cleanup_line,non_forced_pause_count,non_forced_pause_ms,events
destination-primary,arrayListRows,100000,8192,1,warmup,1,gc/destination-primary-79556-2026-09-16_22-53-50.txt,63,65,0,0,[]
destination-primary,arrayListRows,100000,8192,1,warmup,2,gc/destination-primary-79556-2026-09-16_22-53-50.txt,101,103,0,0,[]
destination-primary,arrayListRows,100000,8192,1,warmup,3,gc/destination-primary-79556-2026-09-16_22-53-50.txt,139,141,0,0,[]
destination-primary,arrayListRows,100000,8192,1,warmup,4,gc/destination-primary-79556-2026-09-16_22-53-50.txt,177,179,0,0,[]
destination-primary,arrayListRows,100000,8192,1,warmup,5,gc/destination-primary-79556-2026-09-16_22-53-50.txt,215,217,0,0,[]
destination-primary,arrayListRows,100000,8192,1,measurement,1,gc/destination-primary-79556-2026-09-16_22-53-50.txt,253,255,0,0,[]
destination-primary,arrayListRows,100000,8192,1,measurement,2,gc/destination-primary-79556-2026-09-16_22-53-50.txt,291,293,0,0,[]
destination-primary,arrayListRows,100000,8192,1,measurement,3,gc/destination-primary-79556-2026-09-16_22-53-50.txt,329,331,0,0,[]
destination-primary,arrayListRows,100000,8192,1,measurement,4,gc/destination-primary-79556-2026-09-16_22-53-50.txt,367,369,0,0,[]
destination-primary,arrayListRows,100000,8192,1,measurement,5,gc/destination-primary-79556-2026-09-16_22-53-50.txt,405,407,0,0,[]
destination-primary,arrayListRows,100000,8192,1,measurement,6,gc/destination-primary-79556-2026-09-16_22-53-50.txt,443,445,0,0,[]
destination-primary,arrayListRows,100000,8192,1,measurement,7,gc/destination-primary-79556-2026-09-16_22-53-50.txt,481,483,0,0,[]
destination-primary,arrayListRows,100000,8192,1,measurement,8,gc/destination-primary-79556-2026-09-16_22-53-50.txt,519,521,0,0,[]
destination-primary,arrayListRows,100000,8192,1,measurement,9,gc/destination-primary-79556-2026-09-16_22-53-50.txt,557,559,0,0,[]
destination-primary,arrayListRows,100000,8192,1,measurement,10,gc/destination-primary-79556-2026-09-16_22-53-50.txt,595,602,0,0,[]
destination-primary,arrayListRows,100000,8192,2,warmup,1,gc/destination-primary-79607-2026-09-16_22-53-59.txt,63,65,0,0,[]
destination-primary,arrayListRows,100000,8192,2,warmup,2,gc/destination-primary-79607-2026-09-16_22-53-59.txt,101,103,0,0,[]
destination-primary,arrayListRows,100000,8192,2,warmup,3,gc/destination-primary-79607-2026-09-16_22-53-59.txt,139,141,0,0,[]
destination-primary,arrayListRows,100000,8192,2,warmup,4,gc/destination-primary-79607-2026-09-16_22-53-59.txt,177,179,0,0,[]
destination-primary,arrayListRows,100000,8192,2,warmup,5,gc/destination-primary-79607-2026-09-16_22-53-59.txt,215,217,0,0,[]
destination-primary,arrayListRows,100000,8192,2,measurement,1,gc/destination-primary-79607-2026-09-16_22-53-59.txt,253,255,0,0,[]
destination-primary,arrayListRows,100000,8192,2,measurement,2,gc/destination-primary-79607-2026-09-16_22-53-59.txt,291,293,0,0,[]
destination-primary,arrayListRows,100000,8192,2,measurement,3,gc/destination-primary-79607-2026-09-16_22-53-59.txt,329,331,0,0,[]
destination-primary,arrayListRows,100000,8192,2,measurement,4,gc/destination-primary-79607-2026-09-16_22-53-59.txt,367,369,0,0,[]
destination-primary,arrayListRows,100000,8192,2,measurement,5,gc/destination-primary-79607-2026-09-16_22-53-59.txt,405,407,0,0,[]
destination-primary,arrayListRows,100000,8192,2,measurement,6,gc/destination-primary-79607-2026-09-16_22-53-59.txt,443,445,0,0,[]
destination-primary,arrayListRows,100000,8192,2,measurement,7,gc/destination-primary-79607-2026-09-16_22-53-59.txt,481,483,0,0,[]
destination-primary,arrayListRows,100000,8192,2,measurement,8,gc/destination-primary-79607-2026-09-16_22-53-59.txt,519,521,0,0,[]
destination-primary,arrayListRows,100000,8192,2,measurement,9,gc/destination-primary-79607-2026-09-16_22-53-59.txt,557,559,0,0,[]
destination-primary,arrayListRows,100000,8192,2,measurement,10,gc/destination-primary-79607-2026-09-16_22-53-59.txt,595,602,0,0,[]
destination-primary,arrayListRows,100000,8192,3,warmup,1,gc/destination-primary-79636-2026-09-16_22-54-09.txt,63,65,0,0,[]
destination-primary,arrayListRows,100000,8192,3,warmup,2,gc/destination-primary-79636-2026-09-16_22-54-09.txt,101,103,0,0,[]
destination-primary,arrayListRows,100000,8192,3,warmup,3,gc/destination-primary-79636-2026-09-16_22-54-09.txt,139,141,0,0,[]
destination-primary,arrayListRows,100000,8192,3,warmup,4,gc/destination-primary-79636-2026-09-16_22-54-09.txt,177,179,0,0,[]
destination-primary,arrayListRows,100000,8192,3,warmup,5,gc/destination-primary-79636-2026-09-16_22-54-09.txt,215,217,0,0,[]
destination-primary,arrayListRows,100000,8192,3,measurement,1,gc/destination-primary-79636-2026-09-16_22-54-09.txt,253,255,0,0,[]
destination-primary,arrayListRows,100000,8192,3,measurement,2,gc/destination-primary-79636-2026-09-16_22-54-09.txt,291,293,0,0,[]
destination-primary,arrayListRows,100000,8192,3,measurement,3,gc/destination-primary-79636-2026-09-16_22-54-09.txt,329,331,0,0,[]
destination-primary,arrayListRows,100000,8192,3,measurement,4,gc/destination-primary-79636-2026-09-16_22-54-09.txt,367,369,0,0,[]
destination-primary,arrayListRows,100000,8192,3,measurement,5,gc/destination-primary-79636-2026-09-16_22-54-09.txt,405,407,0,0,[]
destination-primary,arrayListRows,100000,8192,3,measurement,6,gc/destination-primary-79636-2026-09-16_22-54-09.txt,443,445,0,0,[]
destination-primary,arrayListRows,100000,8192,3,measurement,7,gc/destination-primary-79636-2026-09-16_22-54-09.txt,481,483,0,0,[]
destination-primary,arrayListRows,100000,8192,3,measurement,8,gc/destination-primary-79636-2026-09-16_22-54-09.txt,519,521,0,0,[]
destination-primary,arrayListRows,100000,8192,3,measurement,9,gc/destination-primary-79636-2026-09-16_22-54-09.txt,557,559,0,0,[]
destination-primary,arrayListRows,100000,8192,3,measurement,10,gc/destination-primary-79636-2026-09-16_22-54-09.txt,595,602,0,0,[]
destination-primary,arrayListRows,10000000,8192,1,warmup,1,gc/destination-primary-79663-2026-09-16_22-54-19.txt,63,108,3,446.79600000000005,"[{""line"":77,""gc_id"":2,""kind"":""Pause Young (Normal) (G1 Evacuation Pause) 765M->749M(4096M)"",""pause_ms"":165.092},{""line"":92,""gc_id"":3,""kind"":""Pause Young (Normal) (G1 Evacuation Pause) 927M->932M(4096M)"",""pause_ms"":240.311},{""line"":106,""gc_id"":4,""kind"":""Pause Young (Normal) (G1 Evacuation Pause) 1110M->1115M(4096M)"",""pause_ms"":41.393}]"
