run,method,rows,batch,fork,mean_ms,median_ms,p90_ms
destination-primary,arrayListRows,100000,8192,1,2.2635542,2.1242085,2.8452205
destination-primary,arrayListRows,100000,8192,2,2.2801791,2.279313,2.6727583
destination-primary,arrayListRows,100000,8192,3,2.1589042,2.442896,2.7368164
destination-primary,arrayListRows,10000000,8192,1,236.1509459,229.9298125,249.14109999999997
destination-primary,arrayListRows,10000000,8192,2,227.4498666,226.1481875,234.3197542
destination-primary,arrayListRows,10000000,8192,3,226.1364541,223.498271,233.67408329999998
destination-primary,arrayListRows,100000,1000000,1,1.5941584,1.4977084999999999,1.9697497
destination-primary,arrayListRows,100000,1000000,2,1.7777291,1.6551875,2.5726913000000002
destination-primary,arrayListRows,100000,1000000,3,2.0053624,2.021979,2.5180371999999998
destination-primary,arrayListRows,10000000,1000000,1,225.7250166,223.6908955,238.713567
destination-primary,arrayListRows,10000000,1000000,2,229.7847915,228.2439995,244.7637244
destination-primary,arrayListRows,10000000,1000000,3,241.4627709,235.0585005,263.0539544
destination-primary,columnarFixedPoolPerBatchBarrierAppender,100000,8192,1,1.6617291,1.6658125,1.8865214000000001
destination-primary,columnarFixedPoolPerBatchBarrierAppender,100000,8192,2,1.8970626,1.7065000000000001,2.409166699999999
destination-primary,columnarFixedPoolPerBatchBarrierAppender,100000,8192,3,1.7580834,1.8082915000000002,1.9711081
destination-primary,columnarFixedPoolPerBatchBarrierAppender,10000000,8192,1,53.5741208,51.177625,60.1361839
destination-primary,columnarFixedPoolPerBatchBarrierAppender,10000000,8192,2,49.1269167,50.045604,53.9665756
destination-primary,columnarFixedPoolPerBatchBarrierAppender,10000000,8192,3,48.4790334,48.367729,53.1307378
destination-primary,columnarFixedPoolPerBatchBarrierAppender,100000,1000000,1,1.1838459000000001,1.1507710000000002,1.4223369
destination-primary,columnarFixedPoolPerBatchBarrierAppender,100000,1000000,2,1.1692501,1.2117499999999999,1.3679002999999998
destination-primary,columnarFixedPoolPerBatchBarrierAppender,100000,1000000,3,1.1431085,1.1522915,1.2808837
destination-primary,columnarFixedPoolPerBatchBarrierAppender,10000000,1000000,1,28.7288707,29.363521,32.4136041
destination-primary,columnarFixedPoolPerBatchBarrierAppender,10000000,1000000,2,30.9036669,31.539667,34.115233599999996
destination-primary,columnarFixedPoolPerBatchBarrierAppender,10000000,1000000,3,29.2435833,29.9048545,32.317175
destination-primary,columnarFixedPoolPipelinedAppender,100000,8192,1,1.3262086,1.327667,1.4203705999999998
destination-primary,columnarFixedPoolPipelinedAppender,100000,8192,2,1.2315835,1.3312914999999998,1.4544002999999999
destination-primary,columnarFixedPoolPipelinedAppender,100000,8192,3,1.2220041,1.292479,1.4865375
destination-primary,columnarFixedPoolPipelinedAppender,10000000,8192,1,34.8068249,33.654416,42.1640453
destination-primary,columnarFixedPoolPipelinedAppender,10000000,8192,2,35.2078209,33.501791499999996,41.4195587
destination-primary,columnarFixedPoolPipelinedAppender,10000000,8192,3,31.8567999,31.912729,33.8856913
destination-primary,columnarFixedPoolPipelinedAppender,100000,1000000,1,1.2701541,1.270854,1.4183002999999998
destination-primary,columnarFixedPoolPipelinedAppender,100000,1000000,2,1.2123458,1.2368335,1.2974456
destination-primary,columnarFixedPoolPipelinedAppender,100000,1000000,3,1.1522751,1.18025,1.2937789
destination-primary,columnarFixedPoolPipelinedAppender,10000000,1000000,1,25.9311793,27.6894165,29.509346400000002
destination-primary,columnarFixedPoolPipelinedAppender,10000000,1000000,2,27.8747041,28.5352295,29.5532327
destination-primary,columnarFixedPoolPipelinedAppender,10000000,1000000,3,28.5879878,28.823770500000002,30.6359087
destination-primary,columnarSequentialRangedBatches,100000,8192,1,1.2598292,1.3564585,1.5251630999999999
destination-primary,columnarSequentialRangedBatches,100000,8192,2,1.4300543000000001,1.394104,1.6290039
destination-primary,columnarSequentialRangedBatches,100000,8192,3,1.3273041,1.370125,1.5129666
destination-primary,columnarSequentialRangedBatches,10000000,8192,1,48.5106875,48.9025,50.119042
destination-primary,columnarSequentialRangedBatches,10000000,8192,2,47.5830251,48.921354,52.14664169999999
destination-primary,columnarSequentialRangedBatches,10000000,8192,3,47.7213541,48.855020999999994,50.1400378
destination-primary,columnarSequentialRangedBatches,100000,1000000,1,1.3275668,1.380209,1.4662164
destination-primary,columnarSequentialRangedBatches,100000,1000000,2,1.2802417,1.3235835,1.4568503
destination-primary,columnarSequentialRangedBatches,100000,1000000,3,1.3230249,1.2814375,1.5822295
destination-primary,columnarSequentialRangedBatches,10000000,1000000,1,52.9128834,52.373771000000005,58.198028599999994
destination-primary,columnarSequentialRangedBatches,10000000,1000000,2,50.1606252,52.8284795,56.692459
destination-primary,columnarSequentialRangedBatches,10000000,1000000,3,57.5315917,54.577270999999996,64.6070122
destination-primary,columnarSingleThreadedAppender,100000,8192,1,1.3727585,1.409792,1.4336828
destination-primary,columnarSingleThreadedAppender,100000,8192,2,1.4478917,1.4951875000000001,1.6594583
destination-primary,columnarSingleThreadedAppender,100000,8192,3,1.2943042,1.372229,1.4788453
destination-primary,columnarSingleThreadedAppender,10000000,8192,1,43.6797918,46.259417,50.845791399999996
destination-primary,columnarSingleThreadedAppender,10000000,8192,2,40.1131792,28.941083,67.72515389999998
destination-primary,columnarSingleThreadedAppender,10000000,8192,3,29.8242748,27.070583,37.1665375
destination-primary,columnarSingleThreadedAppender,100000,1000000,1,0.8644,0.685125,1.4153331
destination-primary,columnarSingleThreadedAppender,100000,1000000,2,1.0329458,1.1174995,1.5692744
destination-primary,columnarSingleThreadedAppender,100000,1000000,3,1.1659918,1.1667085,1.3324458
destination-primary,columnarSingleThreadedAppender,10000000,1000000,1,52.9833833,53.6788545,58.1291837
destination-primary,columnarSingleThreadedAppender,10000000,1000000,2,37.788,33.8829375,51.2414792
destination-primary,columnarSingleThreadedAppender,10000000,1000000,3,33.9869875,30.542312000000003,43.990625599999994
destination-repeat,arrayListRows,10000000,8192,1,259.6105582,258.623021,284.3326247
destination-repeat,arrayListRows,10000000,8192,2,236.3634374,228.97106250000002,270.2689375
destination-repeat,arrayListRows,10000000,8192,3,233.2119582,231.028854,244.0626956
destination-repeat,arrayListRows,10000000,1000000,1,228.7902959,226.2542085,235.0278084
destination-repeat,arrayListRows,10000000,1000000,2,225.60621650000002,226.1532915,229.4088167
destination-repeat,arrayListRows,10000000,1000000,3,239.4149623,227.05483349999997,264.2045035
destination-repeat,columnarFixedPoolPerBatchBarrierAppender,10000000,8192,1,49.4144248,49.606875,52.97185
destination-repeat,columnarFixedPoolPerBatchBarrierAppender,10000000,8192,2,47.3909833,47.834312499999996,57.049800000000005
destination-repeat,columnarFixedPoolPerBatchBarrierAppender,10000000,8192,3,49.5600915,49.250062,54.3621708
destination-repeat,columnarFixedPoolPerBatchBarrierAppender,10000000,1000000,1,28.9552,28.741979,34.6059795
destination-repeat,columnarFixedPoolPerBatchBarrierAppender,10000000,1000000,2,28.7905165,29.500458000000002,32.2019875
destination-repeat,columnarFixedPoolPerBatchBarrierAppender,10000000,1000000,3,32.605762500000004,29.226354,38.8069631
destination-repeat,columnarFixedPoolPipelinedAppender,10000000,8192,1,33.953591599999996,32.133729,37.766899999999985
destination-repeat,columnarFixedPoolPipelinedAppender,10000000,8192,2,31.1238666,31.670542,37.2564205
destination-repeat,columnarFixedPoolPipelinedAppender,10000000,8192,3,30.4204833,31.064062,36.709582999999995
destination-repeat,columnarFixedPoolPipelinedAppender,10000000,1000000,1,25.4566542,26.537979,29.5033792
destination-repeat,columnarFixedPoolPipelinedAppender,10000000,1000000,2,25.700141600000002,25.8448545,28.6693452
destination-repeat,columnarFixedPoolPipelinedAppender,10000000,1000000,3,28.0791167,28.081561999999998,30.120616399999996
destination-repeat,columnarSequentialRangedBatches,10000000,8192,1,45.3150248,48.3648335,49.348628500000004
destination-repeat,columnarSequentialRangedBatches,10000000,8192,2,51.3230876,47.288833499999996,56.91565419999998
destination-repeat,columnarSequentialRangedBatches,10000000,8192,3,47.8176875,48.529208499999996,51.29073339999999
destination-repeat,columnarSequentialRangedBatches,10000000,1000000,1,49.0652872,51.905103499999996,53.8719536
destination-repeat,columnarSequentialRangedBatches,10000000,1000000,2,50.2356627,50.5450625,58.629354199999995
destination-repeat,columnarSequentialRangedBatches,10000000,1000000,3,52.1216333,52.239791499999995,61.6314622
destination-repeat,columnarSingleThreadedAppender,10000000,8192,1,45.6353916,48.083270999999996,50.8143288
destination-repeat,columnarSingleThreadedAppender,10000000,8192,2,49.0944793,48.610563,58.121779499999995
destination-repeat,columnarSingleThreadedAppender,10000000,8192,3,49.9138417,49.253083000000004,55.0600039
destination-repeat,columnarSingleThreadedAppender,10000000,1000000,1,50.6015792,48.924082999999996,58.13394199999999
destination-repeat,columnarSingleThreadedAppender,10000000,1000000,2,53.0766541,52.6491455,55.2562747
destination-repeat,columnarSingleThreadedAppender,10000000,1000000,3,53.7585915,51.606291999999996,61.41059579999999
hardwood,hardwoodToArrayList,100000,1000000,1,20.5922125,20.538646,21.920675
hardwood,hardwoodToArrayList,100000,1000000,2,18.7656915,21.788292,22.198703499999997
hardwood,hardwoodToArrayList,100000,1000000,3,15.1619916,16.1448125,20.3454416
hardwood,hardwoodToArrayList,10000000,1000000,1,843.8398833,848.4390209999999,962.9965661
hardwood,hardwoodToArrayList,10000000,1000000,2,761.4090791,747.360563,815.2832294
hardwood,hardwoodToArrayList,10000000,1000000,3,677.5123959,657.9700625,728.6469125
