run,method,rows,batch,fork,iteration,time_ms,allocation_bytes,gc_count
destination-primary,arrayListRows,100000,8192,1,1,1.88375,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,1,2,3.059083,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,1,3,2.821458,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,1,4,1.891334,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,1,5,2.05925,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,1,6,2.604417,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,1,7,2.189167,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,1,8,1.876,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,1,9,1.908125,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,1,10,2.342958,6810080.0,0.0
destination-primary,arrayListRows,100000,8192,2,1,2.038833,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,2,2,1.582333,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,2,3,3.050833,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,2,4,2.293917,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,2,5,2.356833,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,2,6,2.63075,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,2,7,2.417,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,2,8,1.965416,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,2,9,2.201167,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,2,10,2.264709,6810080.0,0.0
destination-primary,arrayListRows,100000,8192,3,1,2.488709,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,3,2,1.662958,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,3,3,2.656875,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,3,4,0.486416,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,3,5,2.703083,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,3,6,2.230084,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,3,7,1.3025,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,3,8,2.397083,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,3,9,2.620917,6806824.0,0.0
destination-primary,arrayListRows,100000,8192,3,10,3.040417,6810080.0,0.0
destination-primary,arrayListRows,10000000,8192,1,1,323.4955,680006824.0,0.0
destination-primary,arrayListRows,10000000,8192,1,2,240.8795,680006824.0,0.0
destination-primary,arrayListRows,10000000,8192,1,3,205.805709,680006824.0,0.0
destination-primary,arrayListRows,10000000,8192,1,4,213.003916,680006824.0,0.0
