run,method,rows,batch,mean_ms,jmh_99_9_ci_low_ms,jmh_99_9_ci_high_ms,jmh_99_9_half_width_ms,median_ms,p90_ms,min_ms,max_ms,fork1_ms,fork2_ms,fork3_ms,allocation_bytes_per_op,allocation_mib_per_op,measured_gc_count,samples_with_gc
destination-primary,arrayListRows,100000,8192,2.2342125,1.8696657354163317,2.598759264583668,0.3645467645836683,2.279313,2.8433539000000003,0.486416,3.059083,2.2635542,2.2801791,2.1589042,6807149.6,6.491803741455078,0.0,0
destination-primary,arrayListRows,10000000,8192,229.91242220000007,215.99891882544733,243.8259255745528,13.913503374552745,225.0556665,242.09181670000004,205.805709,323.4955,236.1509459,227.4498666,226.1364541,680007151.4666667,648.5053553263347,1.0,1
destination-primary,arrayListRows,100000,1000000,1.7924166333333331,1.4669283263455704,2.117904940321096,0.3254883069877628,1.7854795,2.514883,0.503834,2.653541,1.5941584,1.7777291,2.0053624,6807149.6,6.491803741455078,0.0,0
destination-primary,arrayListRows,10000000,1000000,232.3241929999999,222.9993662854287,241.6490197145711,9.324826714571197,229.462896,247.07813330000002,206.384167,269.912291,225.7250166,229.7847915,241.4627709,680007149.6,648.5053535461426,0.0,0
destination-primary,columnarFixedPoolPerBatchBarrierAppender,100000,8192,1.7722917,1.34265194207779,2.20193145792221,0.4296397579222101,1.7183335,1.9711081,0.549041,4.770917,1.6617291,1.8970626,1.7580834,5232479.733333333,4.990081532796224,0.0,0
destination-primary,columnarFixedPoolPerBatchBarrierAppender,10000000,8192,50.393356966666666,46.06985810279628,54.71685583053705,4.323498863870387,50.1525835,59.1626459,30.710083,63.033958,53.5741208,49.1269167,48.4790334,522255358.6666667,498.06152216593426,0.0,0
destination-primary,columnarFixedPoolPerBatchBarrierAppender,100000,1000000,1.1654015000000002,1.0012016175864031,1.3296013824135973,0.16419988241359706,1.1687500000000002,1.4172869,0.577917,1.810459,1.1838459000000001,1.1692501,1.1431085,5209920.266666667,4.968567148844401,0.0,0
destination-primary,columnarFixedPoolPerBatchBarrierAppender,10000000,1000000,29.62537363333333,26.98162384777707,32.269123418889585,2.643749785556259,30.1750835,32.5805167,22.206917,40.119958,28.7288707,30.9036669,29.2435833,520027200.53333336,495.9365849812826,0.0,0
destination-primary,columnarFixedPoolPipelinedAppender,100000,8192,1.2599320666666667,1.073103035464424,1.4467610978689094,0.18682903120224262,1.3155204999999999,1.4865375,0.31525,1.66575,1.3262086,1.2315835,1.2220041,5222159.466666667,4.9802393595377605,0.0,0
destination-primary,columnarFixedPoolPipelinedAppender,10000000,8192,33.95714856666667,31.239574102551405,36.674723030781934,2.717574464115263,32.766021,41.2470669,28.570459,46.445834,34.8068249,35.2078209,31.8567999,521243412.53333336,497.09645512898766,0.0,0
destination-primary,columnarFixedPoolPipelinedAppender,100000,1000000,1.2115916666666664,1.1075526933129862,1.3156306400203466,0.10403897335368019,1.2368335,1.359817,0.858583,1.674875,1.2701541,1.2123458,1.1522751,5210176.266666667,4.968811289469401,0.0,0
destination-primary,columnarFixedPoolPipelinedAppender,10000000,1000000,27.464623733333333,25.382337955047852,29.546909511618814,2.082285778285481,28.5352295,29.803533899999998,16.784959,31.395209,25.9311793,27.8747041,28.5879878,520019647.73333335,495.9293820699056,0.0,0
destination-primary,columnarSequentialRangedBatches,100000,8192,1.3390625333333328,1.1606097086031264,1.5175153580635392,0.17845282473020646,1.3838545,1.5646827,0.375125,1.6935,1.2598292,1.4300543000000001,1.3273041,5208301.6,4.967023468017578,0.0,0
destination-primary,columnarSequentialRangedBatches,10000000,8192,47.93835556666667,43.983546482998044,51.8931646503353,3.95480908366863,48.9025,50.359725,28.9435,67.471542,48.5106875,47.5830251,47.7213541,520095277.6,496.00150833129885,0.0,0
destination-primary,columnarSequentialRangedBatches,100000,1000000,1.3102778,1.1898958832823876,1.4306597167176123,0.1203819167176123,1.3235835,1.5143664,0.909083,1.691917,1.3275668,1.2802417,1.3230249,5207437.6,4.966199493408203,0.0,0
destination-primary,columnarSequentialRangedBatches,10000000,1000000,53.53503343333334,48.53600414734532,58.53406271932136,4.999029285988021,53.399646,59.10465860000001,29.180916,75.7045,52.9128834,50.1606252,57.5315917,520008085.6,495.91835556030276,0.0,0
destination-primary,columnarSingleThreadedAppender,100000,8192,1.3716514666666664,1.2355743601783846,1.5077285731549481,0.13607710648828183,1.4152915,1.5584584000000001,0.726667,1.789583,1.3727585,1.4478917,1.2943042,5207365.6,4.9661308288574215,0.0,0
destination-primary,columnarSingleThreadedAppender,10000000,8192,37.872415266666664,26.80646566738711,48.93836486594622,11.065949599279557,31.570875,50.845791399999996,21.9975,104.768667,43.6797918,40.1131792,29.8242748,520007365.6,495.91766891479494,0.0,0
destination-primary,columnarSingleThreadedAppender,100000,1000000,1.0211125333333335,0.734955134413521,1.307269932253146,0.2861573989198125,1.130083,1.5063044,0.2745,1.699625,0.8644,1.0329458,1.1659918,5207365.6,4.9661308288574215,0.0,0
destination-primary,columnarSingleThreadedAppender,10000000,1000000,41.586123600000015,34.20998898593631,48.962258214063716,7.376134614063701,44.140792,54.1259952,25.366166,60.058709,52.9833833,37.788,33.9869875,520007365.6,495.91766891479494,0.0,0
destination-repeat,arrayListRows,10000000,8192,243.06198459999996,226.03075535423946,260.0932138457605,17.031229245760507,233.65772900000002,276.5175577,215.7215,324.464,259.6105582,236.3634374,233.2119582,680007151.4666667,648.5053553263347,1.0,1
destination-repeat,arrayListRows,10000000,1000000,231.2704915666666,217.783417370505,244.75756576282822,13.487074196161602,226.1532915,249.70330410000003,212.999875,314.065291,228.7902959,225.60621650000002,239.4149623,680007149.6,648.5053535461426,0.0,0
destination-repeat,columnarFixedPoolPerBatchBarrierAppender,10000000,8192,48.78849986666667,44.69935605792232,52.877643675411015,4.0891438087443435,48.628979,55.4626875,28.674708,58.809708,49.4144248,47.3909833,49.5600915,522258389.3333333,498.0644124348958,0.0,0
destination-repeat,columnarFixedPoolPerBatchBarrierAppender,10000000,1000000,30.117159666666666,25.135807843362798,35.098511489970534,4.981351823303866,29.2851455,35.3038581,18.571,60.248375,28.9552,28.7905165,32.605762500000004,520027230.1333333,495.9366132100423,0.0,0
destination-repeat,columnarFixedPoolPipelinedAppender,10000000,8192,31.832647166666668,25.972975049362372,37.69231928397096,5.859672117304296,32.133729,37.10974550000002,18.834666,62.849,33.953591599999996,31.1238666,30.4204833,521236374.1333333,497.08974278767903,0.0,0
destination-repeat,columnarFixedPoolPipelinedAppender,10000000,1000000,26.411970833333328,23.830585722155643,28.993355944511013,2.581385111177685,27.466396,29.530345500000003,17.948291,36.476042,25.4566542,25.700141600000002,28.0791167,520019767.2,495.92949600219725,0.0,0
destination-repeat,columnarSequentialRangedBatches,10000000,8192,48.15193330000001,39.03518377711845,57.26868282288157,9.116749522881566,48.399375,50.5625625,29.195875,114.729667,45.3150248,51.3230876,47.8176875,520095277.6,496.00150833129885,0.0,0
destination-repeat,columnarSequentialRangedBatches,10000000,1000000,50.4741944,44.630918669893745,56.31747013010626,5.843275730106255,52.239791499999995,57.36028360000001,37.24475,76.698917,49.0652872,50.2356627,52.1216333,520008085.6,495.91835556030276,0.0,0
destination-repeat,columnarSingleThreadedAppender,10000000,8192,48.214570866666676,43.65993277406473,52.769208959268624,4.554638092601949,48.3556045,54.7514789,28.022375,63.282042,45.6353916,49.0944793,49.9138417,520007365.6,495.91766891479494,0.0,0
destination-repeat,columnarSingleThreadedAppender,10000000,1000000,52.478941599999985,44.032306338848876,60.92557686115109,8.446635261151108,51.606291999999996,58.57146250000001,30.446166,93.660542,50.6015792,53.0766541,53.7585915,520007365.6,495.91766891479494,0.0,0
hardwood,hardwoodToArrayList,100000,1000000,18.17329853333333,15.061114461738372,21.28548260492829,3.1121840715949585,20.0340415,21.995179399999998,8.371625,23.492791,20.5922125,18.7656915,15.1619916,484706977.06666666,462.2525950113932,0.0,0
hardwood,hardwoodToArrayList,10000000,1000000,760.9204527666666,683.1660481544244,838.6748573789088,77.75440461224217,724.045917,943.6056166,588.133959,1018.205666,843.8398833,761.4090791,677.5123959,5301164191.466666,5055.584136454264,81.0,30
hardwood,hardwoodToColumnarBatch,100000,1000000,19.121834700000004,16.441170951733866,21.802498448266142,2.6806637482661384,20.602708,22.6726292,9.846792,24.937459,20.4585208,17.642325,19.2646583,483066640.0,460.68824768066406,0.0,0
hardwood,hardwoodToColumnarBatch,10000000,1000000,530.3507806333333,482.91738675365986,577.7841745130069,47.43339387967349,510.3278125,602.6210631,461.570916,791.328583,567.486571,515.148025,508.4177459,5141204489.866667,4903.034677378337,91.0,30
hardwood,hardwoodToExecutorBackedColumnarBatch,100000,1000000,18.677237466666668,15.967762099231253,21.386712834102084,2.709475367435415,19.617125,22.3268455,8.246125,23.367959,17.9495668,19.8973,18.1848456,483130566.6666667,460.74921290079754,0.0,0
hardwood,hardwoodToExecutorBackedColumnarBatch,10000000,1000000,524.2507624666665,474.896256878317,573.605268055016,49.35450558834951,495.985625,584.3797744,448.480875,797.835458,530.1001125,517.7749375,524.8772374,5141208038.133333,4903.038061269124,82.0,30
